Gene	gene_short_name
4930522L14Rik	4930522L14Rik
4930524J08Rik	4930524J08Rik
4930524O07Rik	4930524O07Rik
4930525G20Rik	4930525G20Rik
4930526A20Rik	4930526A20Rik
4930532G15Rik	4930532G15Rik
4930534D22Rik	4930534D22Rik
4930537H20Rik	4930537H20Rik
4930538E20Rik	4930538E20Rik
4930539E08Rik	4930539E08Rik
4930539J05Rik	4930539J05Rik
4930550L24Rik	4930550L24Rik
4930551O13Rik	4930551O13Rik
4930553P18Rik	4930553P18Rik
4930555B11Rik	4930555B11Rik
4930558K02Rik	4930558K02Rik
4930563E22Rik	4930563E22Rik
4930568G15Rik	4930568G15Rik
4930570D08Rik	4930570D08Rik
4930570G19Rik	4930570G19Rik
4930578M01Rik	4930578M01Rik
4930579G18Rik	4930579G18Rik
4930579G24Rik	4930579G24Rik
4930579K19Rik	4930579K19Rik
4930581F22Rik	4930581F22Rik
4930589O11Rik	4930589O11Rik
4930590J08Rik	4930590J08Rik
4930592C13Rik	4930592C13Rik
4930593C16Rik	4930593C16Rik
4930594M22Rik	4930594M22Rik
4930595D18Rik	4930595D18Rik
4930597O21Rik	4930597O21Rik
4930598N05Rik	4930598N05Rik
4931403E22Rik	4931403E22Rik
4931406C07Rik	4931406C07Rik
4931406P16Rik	4931406P16Rik
4931409K22Rik	4931409K22Rik
4931414P19Rik	4931414P19Rik
4931415C17Rik	4931415C17Rik
4931422A03Rik	4931422A03Rik
4931423N10Rik	4931423N10Rik
4931428F04Rik	4931428F04Rik
4931440P22Rik	4931440P22Rik
4932422M17Rik	4932422M17Rik
4932438A13Rik	4932438A13Rik
4932438H23Rik	4932438H23Rik
4932441J04Rik	4932441J04Rik
4932443I19Rik	4932443I19Rik
4932443L11Rik	4932443L11Rik
4933400C23Rik	4933400C23Rik
4933402D24Rik	4933402D24Rik
4933403O08Rik	4933403O08Rik
4933404O12Rik	4933404O12Rik
4933406C10Rik	4933406C10Rik
4933406I18Rik	4933406I18Rik
4933406P04Rik	4933406P04Rik
4933407K13Rik	4933407K13Rik
4933407L21Rik	4933407L21Rik
4933408B17Rik	4933408B17Rik
4933408N05Rik	4933408N05Rik
4933412A08Rik	4933412A08Rik
4933412L11Rik	4933412L11Rik
4933413G19Rik	4933413G19Rik
4933415A04Rik	4933415A04Rik
4933417D19Rik	4933417D19Rik
4933417G07Rik	4933417G07Rik
4933421O10Rik	4933421O10Rik
4933424G06Rik	4933424G06Rik
4933425D22Rik	4933425D22Rik
4933427D06Rik	4933427D06Rik
4933427D14Rik	4933427D14Rik
4933427G23Rik	4933427G23Rik
4933428P19Rik	4933428P19Rik
4933430I17Rik	4933430I17Rik
4933431E20Rik	4933431E20Rik
4933431K14Rik	4933431K14Rik
4933434E20Rik	4933434E20Rik
4933439C10Rik	4933439C10Rik
4933439K11Rik	4933439K11Rik
5031425E22Rik	5031425E22Rik
5031434O11Rik	5031434O11Rik
5031439G07Rik	5031439G07Rik
5033403F01Rik	5033403F01Rik
5033417F24Rik	5033417F24Rik
5033426E14Rik	5033426E14Rik
5033430I15Rik	5033430I15Rik
5330411J11Rik	5330411J11Rik
5330413P13Rik	5330413P13Rik
5330416C01Rik	5330416C01Rik
5330417C22Rik	5330417C22Rik
5330425B07Rik	5330425B07Rik
5330434G04Rik	5330434G04Rik
5330437M03Rik	5330437M03Rik
5330438D12Rik	5330438D12Rik
5330439A09Rik	5330439A09Rik
5330439K02Rik	5330439K02Rik
5430400D12Rik	5430400D12Rik
5430402O13Rik	5430402O13Rik
5430403G16Rik	5430403G16Rik
5430405H02Rik	5430405H02Rik
5430416N02Rik	5430416N02Rik
5430416O09Rik	5430416O09Rik
5430437J10Rik	5430437J10Rik
5530401A14Rik	5530401A14Rik
5530601H04Rik	5530601H04Rik
5730403I07Rik	5730403I07Rik
5730405O15Rik	5730405O15Rik
5730409E04Rik	5730409E04Rik
5730412P04Rik	5730412P04Rik
5730422E09Rik	5730422E09Rik
5730455P16Rik	5730455P16Rik
5730480H06Rik	5730480H06Rik
5730507A11Rik	5730507A11Rik
5730507C01Rik	5730507C01Rik
5730508B09Rik	5730508B09Rik
5730522E02Rik	5730522E02Rik
5830417I10Rik	5830417I10Rik
5830432E09Rik	5830432E09Rik
5830444B04Rik	5830444B04Rik
5830454E08Rik	5830454E08Rik
5830462I19Rik	5830462I19Rik
5930403N24Rik	5930403N24Rik
5930409G06Rik	5930409G06Rik
5930412G12Rik	5930412G12Rik
5930420M18Rik	5930420M18Rik
5930430L01Rik	5930430L01Rik
6030400A10Rik	6030400A10Rik
6030407O03Rik	6030407O03Rik
6030408B16Rik	6030408B16Rik
6030419C18Rik	6030419C18Rik
6030442K20Rik	6030442K20Rik
6030443J06Rik	6030443J06Rik
6030445D17Rik	6030445D17Rik
6030458C11Rik	6030458C11Rik
6030460B20Rik	6030460B20Rik
6030498E09Rik	6030498E09Rik
