Gene	Cluster	Signature
Snrnp70	6	Cell_Fate_1
Gpc1	6	Cell_Fate_1
Igsf3	6	Cell_Fate_1
Nsd2	6	Cell_Fate_1
Celf5	6	Cell_Fate_1
Flna	6	Cell_Fate_1
Abr	6	Cell_Fate_1
Plekha5	6	Cell_Fate_1
Igsf9b	6	Cell_Fate_1
Las1l	6	Cell_Fate_1
Usp34	6	Cell_Fate_1
Robo2	6	Cell_Fate_1
Dennd6b	6	Cell_Fate_1
Gm44562	6	Cell_Fate_1
Fat3	6	Cell_Fate_1
Scn9a	6	Cell_Fate_1
Matk	6	Cell_Fate_1
Chd5	6	Cell_Fate_1
Ptpro	6	Cell_Fate_1
Tmem191c	6	Cell_Fate_1
Clstn3	6	Cell_Fate_1
Smg1	6	Cell_Fate_1
Magi1	6	Cell_Fate_1
Ralgapa1	6	Cell_Fate_1
Auts2	6	Cell_Fate_1
Peg13	6	Cell_Fate_1
Tenm4	6	Cell_Fate_1
Mtf2	6	Cell_Fate_1
Dnmt3a	6	Cell_Fate_1
Vwa5b2	6	Cell_Fate_1
Lmtk3	6	Cell_Fate_1
Raph1	6	Cell_Fate_1
Chka	6	Cell_Fate_1
Aatk	6	Cell_Fate_1
Eif4g3	6	Cell_Fate_1
4932438A13Rik	6	Cell_Fate_1
Sltm	6	Cell_Fate_1
Dnm1	6	Cell_Fate_1
Cacna2d2	6	Cell_Fate_1
Disp2	6	Cell_Fate_1
Dock9	6	Cell_Fate_1
Ablim1	6	Cell_Fate_1
Ntng1	6	Cell_Fate_1
Nptxr	6	Cell_Fate_1
Ice1	6	Cell_Fate_1
Srgap1	6	Cell_Fate_1
Epb41l1	6	Cell_Fate_1
Zc3h13	6	Cell_Fate_1
Slitrk5	6	Cell_Fate_1
Tmem145	6	Cell_Fate_1
Nbea	6	Cell_Fate_1
Slc24a3	6	Cell_Fate_1
Tmem132b	6	Cell_Fate_1
Pabpn1	6	Cell_Fate_1
Kcnma1	6	Cell_Fate_1
Dpysl5	6	Cell_Fate_1
B230334C09Rik	6	Cell_Fate_1
Lrp8	6	Cell_Fate_1
Gm37899	6	Cell_Fate_1
Tenm1	6	Cell_Fate_1
Thoc1	6	Cell_Fate_1
Zcchc11	6	Cell_Fate_1
Spen	6	Cell_Fate_1
Fhl1	6	Cell_Fate_1
1700020I14Rik	6	Cell_Fate_1
Ephb1	6	Cell_Fate_1
Trim67	6	Cell_Fate_1
Spock2	6	Cell_Fate_1
2410089E03Rik	6	Cell_Fate_1
Kif5a	6	Cell_Fate_1
Pcdh15	6	Cell_Fate_1
Fam171a2	6	Cell_Fate_1
Huwe1	6	Cell_Fate_1
Slit2	6	Cell_Fate_1
Kifc2	6	Cell_Fate_1
Cacna1g	6	Cell_Fate_1
Mirg	6	Cell_Fate_1
Camk2a	6	Cell_Fate_1
B4galnt4	6	Cell_Fate_1
Atpif1	7	Cell_Fate_2
Ybx1	7	Cell_Fate_2
Ubb	7	Cell_Fate_2
Bex3	7	Cell_Fate_2
Cox7b	7	Cell_Fate_2
Elob	7	Cell_Fate_2
Cox7a2	7	Cell_Fate_2
Ndufa4	7	Cell_Fate_2
Atp5j2	7	Cell_Fate_2
Psma7	7	Cell_Fate_2
Hint1	7	Cell_Fate_2
Mif	7	Cell_Fate_2
Dynlrb1	7	Cell_Fate_2
Eef1b2	7	Cell_Fate_2
Sst	7	Cell_Fate_2
Cfl1	7	Cell_Fate_2
Ndufa5	7	Cell_Fate_2
Prdx2	7	Cell_Fate_2
Atp5g3	7	Cell_Fate_2
Dynll1	7	Cell_Fate_2
2010107E04Rik	7	Cell_Fate_2
Gm1821	7	Cell_Fate_2
Selenow	7	Cell_Fate_2
Ywhae	7	Cell_Fate_2
Timm8b	7	Cell_Fate_2
Usmg5	7	Cell_Fate_2
Uqcrb	7	Cell_Fate_2
Atp5f1	7	Cell_Fate_2
Ndufb10	7	Cell_Fate_2
Ndufb8	7	Cell_Fate_2
Ndufv3	7	Cell_Fate_2
Uqcc2	7	Cell_Fate_2
Rpl22l1	7	Cell_Fate_2
Swi5	7	Cell_Fate_2
Ranbp1	7	Cell_Fate_2
Ndufb6	7	Cell_Fate_2
Ppia	7	Cell_Fate_2
Ncl	7	Cell_Fate_2
Pfdn1	7	Cell_Fate_2
Naca	7	Cell_Fate_2
Gm10039	7	Cell_Fate_2
Atp5c1	7	Cell_Fate_2
Gm11560	7	Cell_Fate_2
Sh3bgrl3	7	Cell_Fate_2
Pomp	7	Cell_Fate_2
Myl12b	7	Cell_Fate_2
Crh	7	Cell_Fate_2
Ndufab1	7	Cell_Fate_2
Dctn3	7	Cell_Fate_2
Pebp1	7	Cell_Fate_2
Ybx1-ps2	7	Cell_Fate_2
Arpc2	7	Cell_Fate_2
Cox5b	7	Cell_Fate_2
Gm9844	7	Cell_Fate_2
2210013O21Rik	7	Cell_Fate_2
Map1lc3a	7	Cell_Fate_2
Ndufa8	7	Cell_Fate_2
Ptma	7	Cell_Fate_2
Gstp1	7	Cell_Fate_2
Sod1	7	Cell_Fate_2
Edf1	7	Cell_Fate_2
Gtf2h5	7	Cell_Fate_2
Selenoh	7	Cell_Fate_2
Hcfc1r1	7	Cell_Fate_2
Gm10169	7	Cell_Fate_2
Gm5981	7	Cell_Fate_2
Mien1	7	Cell_Fate_2
Mea1	7	Cell_Fate_2
Park7	7	Cell_Fate_2
Cox7a2l	7	Cell_Fate_2
Fmc1	7	Cell_Fate_2
Tceal3	7	Cell_Fate_2
Gal	7	Cell_Fate_2
Sub1	7	Cell_Fate_2
Clta	7	Cell_Fate_2
Dynlt1-ps1	7	Cell_Fate_2
Gm4617	7	Cell_Fate_2
Tdpx-ps1	7	Cell_Fate_2
Chchd6	7	Cell_Fate_2
Tonsl	7	Cell_Fate_2
Rpl38-ps2	7	Cell_Fate_2
Gm9800	7	Cell_Fate_2
1110004F10Rik	7	Cell_Fate_2
Gm5436	7	Cell_Fate_2
Cxx1b	7	Cell_Fate_2
Ap2s1	7	Cell_Fate_2
Coa3	7	Cell_Fate_2
Snrpd1	7	Cell_Fate_2
Mrpl30	7	Cell_Fate_2
AC163623.1	7	Cell_Fate_2
Gm8797	7	Cell_Fate_2
Banf1	7	Cell_Fate_2
Tma7	7	Cell_Fate_2
2810428I15Rik	7	Cell_Fate_2
Flywch2	7	Cell_Fate_2
2410006H16Rik	7	Cell_Fate_2
Hnrnpab	7	Cell_Fate_2
Fis1	7	Cell_Fate_2
Pqbp1	7	Cell_Fate_2
Pfdn4	7	Cell_Fate_2
Bmyc	7	Cell_Fate_2
Gstp-ps	7	Cell_Fate_2
0610012G03Rik	7	Cell_Fate_2
Gm10275	7	Cell_Fate_2
Rps4l	7	Cell_Fate_2
Pdcd5-ps	7	Cell_Fate_2
Mdh1	7	Cell_Fate_2
Cops6	7	Cell_Fate_2
Mrps15	7	Cell_Fate_2
Mrps18c	7	Cell_Fate_2
Ppdpf	7	Cell_Fate_2
Morf4l1	7	Cell_Fate_2
Cox7c	7	Cell_Fate_2
Pfdn2	7	Cell_Fate_2
Gm6063	7	Cell_Fate_2
Gm3511	7	Cell_Fate_2
Tppp3	7	Cell_Fate_2
Mrpl20	7	Cell_Fate_2
Nudc	7	Cell_Fate_2
Ndufa10	7	Cell_Fate_2
C1d	7	Cell_Fate_2
Lamtor2	7	Cell_Fate_2
Gm4204	7	Cell_Fate_2
Trappc4	7	Cell_Fate_2
Gm16379	7	Cell_Fate_2
Psmd4	7	Cell_Fate_2
Psma5	7	Cell_Fate_2
Denr	7	Cell_Fate_2
Ssb	7	Cell_Fate_2
Gm8129	7	Cell_Fate_2
Dpy30	7	Cell_Fate_2
Gm5160	7	Cell_Fate_2
Ppp1r11	7	Cell_Fate_2
Gpx3	7	Cell_Fate_2
